Date,Open,High,Low,Close,Volume
2011-08-15,1.77467,1.78333,1.72867,1.74867,9680370.0
2011-08-12,1.70667,1.80933,1.69067,1.754,15135300.0
2011-08-11,1.60267,1.71667,1.6,1.68667,12448260.0
2011-08-10,1.69333,1.696,1.57533,1.588,23400705.0
2011-08-09,1.62667,1.69667,1.58,1.67067,20000730.0
2011-08-08,1.544,1.62933,1.54,1.576,39127080.0
2011-08-05,1.666,1.692,1.522,1.616,29460825.0
2011-08-04,1.76733,1.79267,1.64467,1.65,45977745.0
2011-08-03,1.83333,1.85533,1.756,1.81333,27012420.0
2011-08-02,1.91267,1.94667,1.818,1.82267,23191800.0
2011-08-01,1.91133,1.932,1.88067,1.918,17472330.0
2011-07-29,1.84867,1.89333,1.83333,1.878,14221905.0
2011-07-28,1.84,1.90333,1.836,1.878,13595340.0
2011-07-27,1.9,1.9,1.834,1.84267,14376045.0
2011-07-26,1.88733,1.918,1.86467,1.86667,11407980.0
2011-07-25,1.934,1.95,1.896,1.89933,10100865.0
2011-07-22,1.91333,1.96933,1.90333,1.95267,8758020.0
2011-07-21,1.92733,1.944,1.87333,1.91333,15180090.0
2011-07-20,1.86667,2.02933,1.85333,1.91267,45337185.0
2011-07-19,1.83867,1.874,1.836,1.85933,15390720.0
2011-07-18,1.82267,1.83,1.77533,1.81533,12778155.0
2011-07-15,1.85267,1.85533,1.82667,1.83867,10634310.0
2011-07-14,1.93067,1.93067,1.81667,1.84067,17386965.0
2011-07-13,1.896,1.93533,1.86,1.90933,15989130.0
2011-07-12,1.89133,1.93933,1.86667,1.878,15679590.0
2011-07-11,1.89333,1.902,1.86667,1.89,14635545.0
2011-07-08,1.99267,1.99267,1.906,1.92067,18608700.0
2011-07-07,1.94267,2.0,1.934,1.982,19342275.0
2011-07-06,1.94267,1.94267,1.90333,1.93067,13903335.0
2011-07-05,1.946,1.968,1.914,1.94267,14939835.0
2011-07-01,1.938,1.97333,1.92,1.93467,12822585.0
2011-06-30,1.90667,1.95533,1.89333,1.942,14199810.0
2011-06-29,1.9,1.93933,1.87133,1.886,21888120.0
2011-06-28,1.85267,1.88333,1.84467,1.874,13336980.0
2011-06-27,1.84867,1.88533,1.82067,1.83067,27140505.0
2011-06-24,1.846,1.86467,1.81733,1.838,49895520.0
2011-06-23,1.81333,1.848,1.74733,1.84733,17549850.0
2011-06-22,1.83533,1.88333,1.80667,1.814,22132995.0
2011-06-21,1.74933,1.84867,1.73333,1.83533,22448445.0
2011-06-20,1.75267,1.764,1.7,1.734,23065635.0
2011-06-17,1.79133,1.84667,1.74267,1.76667,25469040.0
